url,route_name,route_lineage,str_label,label,keep
https://mountainproject.com/assets/photos/climb/120462575_large_1617083974.jpg?cache=1736218605,WHOMP,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|WHOMP,0,True
https://mountainproject.com/assets/photos/climb/120462570_large_1617083790.jpg?cache=1736218605,WHOMP,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|WHOMP,0,True
https://mountainproject.com/assets/photos/climb/127396013_large_1732922449.jpg?cache=1747672685,Wasta,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|Wasta,1,False
https://mountainproject.com/assets/photos/climb/127395995_large_1732922313.jpg?cache=1747672686,Wasta,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|Wasta,1,False
https://mountainproject.com/assets/photos/climb/120160172_large_1609950569.jpg?cache=1610372480,Wumba,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|Wumba,2,False
https://mountainproject.com/assets/photos/climb/120160122_large_1609949426.jpg?cache=1610372480,Wumba,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / blue-wash-trail|Wumba,2,False
https://mountainproject.com/assets/photos/climb/125770031_large_1709762291.jpg?cache=1712349809,The Little Burro,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / burro-creek-boulders,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / burro-creek-boulders|The Little Burro,3,False
https://mountainproject.com/assets/photos/climb/125769999_large_1709762026.jpg?cache=1711146524,The Little Burro,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / burro-creek-boulders,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / burro-creek-boulders|The Little Burro,3,False
https://mountainproject.com/assets/photos/climb/200463653_large_1738828894.jpg?cache=1747672684,A Hero's Journey,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|A Hero's Journey,4,True
https://mountainproject.com/assets/photos/climb/200465112_large_1738885004.jpg?cache=1747672686,A Hero's Journey,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|A Hero's Journey,4,True
https://mountainproject.com/assets/photos/climb/200463646_large_1738828239.jpg?cache=1747672684,A Hero's Journey,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|A Hero's Journey,4,False
https://mountainproject.com/assets/photos/climb/200468446_large_1738979116.jpg?cache=1747672686,Bruulsema,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|Bruulsema,5,True
https://mountainproject.com/assets/photos/climb/200468437_large_1738978898.jpg?cache=1747672684,Bruulsema,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|Bruulsema,5,True
https://mountainproject.com/assets/photos/climb/124375266_large_1686379665.jpg?cache=1686490180,Izzy's Roof,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande,sitemap.xml / sitemap-areas-0.xml / arizona / central-arizona / casa-grande|Izzy's Roof,6,False
